iso3_orig,iso3_dest,year,migrant_stock,migrant_stock_pred,migrant_stock_shock,delta_in_od,delta_out_od,delta_stock_od,model_name,view_type,scenario_name
ETH,IDN,2025,,236.5253722736903,240.64436640456432,4.118994130874022,0.0,4.118994130874022,XGB_OD,SCENARIO,Conflict_internal_HIGH__Conflict_external_HIGH
ETH,IDN,2025,,236.5253722736903,237.89837031731497,1.372998043624674,0.0,1.372998043624674,XGB_OD,SCENARIO,Conflict_internal_HIGH__Conflict_external_LOW
ETH,IDN,2025,,236.5253722736903,236.5253722736903,0.0,0.0,0.0,XGB_OD,SCENARIO,Conflict_internal_LOW
ETH,IDN,2025,,236.5253722736903,265.35833118980844,28.83295891611813,0.0,28.83295891611813,XGB_OD,SCENARIO,Conflict_internal_LOW__Conflict_external_HIGH
ETH,IDN,2025,,236.5253722736903,246.136358579063,9.610986305372707,0.0,9.610986305372707,XGB_OD,SCENARIO,Conflict_internal_LOW__Conflict_external_LOW
ETH,IDN,2030,,243.96686377693348,,,,,XGB_OD,FORECAST,
ETH,IDN,2035,,249.0199317751145,,,,,XGB_OD,FORECAST,
GBR,IDN,2000,5022.0,,,,,,HIST,HIST,
GBR,IDN,2005,3378.0,,,,,,HIST,HIST,
GBR,IDN,2010,3289.0,,,,,,HIST,HIST,
GBR,IDN,2015,2324.0,,,,,,HIST,HIST,
GBR,IDN,2020,1314.0,,,,,,HIST,HIST,
GBR,IDN,2024,1753.0,,,,,,HIST,HIST,
GBR,IDN,2025,,1724.9348292965778,,,,,XGB_OD,FORECAST,
GBR,IDN,2025,,1724.9348292965778,1866.5151569715567,141.58032767497895,0.0,141.58032767497895,XGB_OD,SCENARIO,Aid_HIGH
GBR,IDN,2025,,1724.9348292965778,2685.658481376792,960.7236520802144,0.0,960.7236520802144,XGB_OD,SCENARIO,Aid_HIGH__Conflict_external_HIGH
GBR,IDN,2025,,1724.9348292965778,2139.562931773302,414.628102476724,0.0,414.628102476724,XGB_OD,SCENARIO,Aid_HIGH__Conflict_external_LOW
GBR,IDN,2025,,1724.9348292965778,1866.5151569715567,141.58032767497895,0.0,141.58032767497895,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH
GBR,IDN,2025,,1724.9348292965778,1948.4294894120803,223.49466011550257,0.0,223.49466011550257,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH
GBR,IDN,2025,,1724.9348292965778,1893.8199344517316,168.88510515515347,0.0,168.88510515515347,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW
GBR,IDN,2025,,1724.9348292965778,1866.5151569715567,141.58032767497895,0.0,141.58032767497895,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW
GBR,IDN,2025,,1724.9348292965778,2439.915484055221,714.9806547586436,0.0,714.9806547586436,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH
GBR,IDN,2025,,1724.9348292965778,2057.6485993327783,332.7137700362005,0.0,332.7137700362005,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW
GBR,IDN,2025,,1724.9348292965778,1785.6121125858544,60.67728328927669,0.0,60.67728328927669,XGB_OD,SCENARIO,Aid_LOW
