iso3_orig,iso3_dest,year,migrant_stock_pred,model_name
ISR,USA,2025,170211.45408988534,XGB_OD
ISR,USA,2030,172667.15529619326,XGB_OD
ISR,USA,2035,173131.32182225373,XGB_OD
ITA,USA,2025,367577.96706793294,XGB_OD
ITA,USA,2030,387873.38390131743,XGB_OD
ITA,USA,2035,387873.38390131743,XGB_OD
JAM,USA,2025,893412.2916837574,XGB_OD
JAM,USA,2030,846846.389508324,XGB_OD
JAM,USA,2035,890455.5551623688,XGB_OD
JPN,IDN,2025,12728.41386212147,XGB_OD
JPN,IDN,2030,13976.13995109071,XGB_OD
JPN,IDN,2035,18177.22237395244,XGB_OD
JPN,MYS,2025,12561.731769446631,XGB_OD
JPN,MYS,2030,12676.658499135092,XGB_OD
JPN,MYS,2035,14470.14847222247,XGB_OD
JPN,USA,2025,550545.1566890605,XGB_OD
JPN,USA,2030,539544.562562573,XGB_OD
JPN,USA,2035,539544.562562573,XGB_OD
KEN,USA,2025,224004.00526870528,XGB_OD
KEN,USA,2030,215908.31364533197,XGB_OD
KEN,USA,2035,213306.42045822047,XGB_OD
KHM,IDN,2025,0.031714615914930584,XGB_OD
KHM,IDN,2030,0.031714615914930584,XGB_OD
KHM,IDN,2035,0.031714615914930584,XGB_OD
KHM,USA,2025,171840.8527594337,XGB_OD
KHM,USA,2030,174423.16444215085,XGB_OD
KHM,USA,2035,174239.4513089347,XGB_OD
KOR,IDN,2025,6636.852590344711,XGB_OD
KOR,IDN,2030,6453.306743694606,XGB_OD
KOR,IDN,2035,6453.306743694606,XGB_OD
KOR,MYS,2025,3386.8528496077524,XGB_OD
KOR,MYS,2030,3287.527173801228,XGB_OD
KOR,MYS,2035,3097.036101310967,XGB_OD
KOR,USA,2025,1055008.6970402643,XGB_OD
KOR,USA,2030,1055008.6970402643,XGB_OD
KOR,USA,2035,1055008.6970402643,XGB_OD
LAO,USA,2025,168422.65863570428,XGB_OD
LAO,USA,2030,168156.71929169522,XGB_OD
LAO,USA,2035,174174.65758825853,XGB_OD
LBN,USA,2025,151313.3116775146,XGB_OD
LBN,USA,2030,151363.68235543513,XGB_OD
LBN,USA,2035,151363.68235543513,XGB_OD
LKA,IDN,2025,479.979267056555,XGB_OD
LKA,IDN,2030,527.3612096503888,XGB_OD
LKA,IDN,2035,533.553932790804,XGB_OD
LKA,MYS,2025,3198.8674863962233,XGB_OD
LKA,MYS,2030,3217.819089228572,XGB_OD
LKA,MYS,2035,3244.50043231905,XGB_OD
MEX,USA,2025,11306523.460333327,XGB_OD
MEX,USA,2030,11306523.460333327,XGB_OD
MEX,USA,2035,11306523.460333327,XGB_OD
MMR,IDN,2025,2564.773222441009,XGB_OD
MMR,IDN,2030,2811.999379711967,XGB_OD
MMR,IDN,2035,2720.3090525465514,XGB_OD
MMR,MYS,2025,333974.6726478188,XGB_OD
MMR,MYS,2030,331847.1823809106,XGB_OD
MMR,MYS,2035,331969.9974362,XGB_OD
MMR,USA,2025,237338.49339126717,XGB_OD
MMR,USA,2030,259996.3465598991,XGB_OD
MMR,USA,2035,292966.00909930776,XGB_OD
MYS,AUS,2025,478498.35821013275,XGB_OD
MYS,AUS,2030,536483.4693025948,XGB_OD
MYS,AUS,2035,635624.4596822417,XGB_OD
MYS,BGD,2025,319496.05218400323,XGB_OD
MYS,BGD,2030,349443.515726788,XGB_OD
MYS,BGD,2035,350110.99817895505,XGB_OD
MYS,BGR,2025,29.991255730224243,XGB_OD
MYS,BGR,2030,30.07318101615267,XGB_OD
MYS,BGR,2035,29.902067396224083,XGB_OD
MYS,BMU,2025,51.211646149924036,XGB_OD
MYS,BMU,2030,51.37649629839625,XGB_OD
MYS,BMU,2035,51.37649629839625,XGB_OD
MYS,BOL,2025,8.520074838515114,XGB_OD
MYS,BOL,2030,8.520728552620541,XGB_OD
MYS,BOL,2035,8.542967909728551,XGB_OD
MYS,BRN,2025,64310.70709122441,XGB_OD
MYS,BRN,2030,63666.28706055008,XGB_OD
MYS,BRN,2035,64152.84749519086,XGB_OD
MYS,CAN,2025,25238.98424337113,XGB_OD
MYS,CAN,2030,25238.98424337113,XGB_OD
MYS,CAN,2035,25238.98424337113,XGB_OD
MYS,CHL,2025,383.08077074120604,XGB_OD
MYS,CHL,2030,384.1562299432588,XGB_OD
MYS,CHL,2035,384.7118247990386,XGB_OD
MYS,CHN,2025,32913.02848095436,XGB_OD
MYS,CHN,2030,33290.87896703146,XGB_OD
MYS,CHN,2035,33290.87896703146,XGB_OD
MYS,CRI,2025,4.659810722930693,XGB_OD
MYS,CRI,2030,4.516590991987158,XGB_OD
MYS,CRI,2035,4.631106368270139,XGB_OD
MYS,CYM,2025,22.389395007877145,XGB_OD
MYS,CYM,2030,22.633712503522943,XGB_OD
MYS,CYM,2035,23.034403299434672,XGB_OD
MYS,CYP,2025,48.764999534861055,XGB_OD
MYS,CYP,2030,48.62483552084975,XGB_OD
MYS,CYP,2035,48.62483552084975,XGB_OD
MYS,DNK,2025,1318.5457903215458,XGB_OD
MYS,DNK,2030,1376.4079009111265,XGB_OD
MYS,DNK,2035,1410.9473422858987,XGB_OD
MYS,DOM,2025,18.46334203436204,XGB_OD
MYS,DOM,2030,18.368990380099714,XGB_OD
MYS,DOM,2035,18.368990380099714,XGB_OD
MYS,DZA,2025,1003.7985404544177,XGB_OD
MYS,DZA,2030,1113.940968905582,XGB_OD
MYS,DZA,2035,1090.0631381654257,XGB_OD
MYS,EGY,2025,2675.553790566312,XGB_OD
MYS,EGY,2030,2888.1746675054865,XGB_OD
MYS,EGY,2035,2872.9572351292536,XGB_OD
MYS,EST,2025,18.595119366217418,XGB_OD
MYS,EST,2030,18.595119366217418,XGB_OD
MYS,EST,2035,18.403618808416407,XGB_OD
MYS,FIN,2025,723.0067533797853,XGB_OD
MYS,FIN,2030,723.7352166855844,XGB_OD
MYS,FIN,2035,714.1808979584446,XGB_OD
MYS,GBR,2025,67888.91508280423,XGB_OD
MYS,GBR,2030,67888.91508280423,XGB_OD
MYS,GBR,2035,67888.91508280423,XGB_OD
MYS,GIN,2025,0.012949956742854929,XGB_OD
MYS,GIN,2030,0.012949956742854929,XGB_OD
MYS,GIN,2035,0.012949956742854929,XGB_OD
MYS,GRC,2025,67.1757095836091,XGB_OD
MYS,GRC,2030,67.1757095836091,XGB_OD
MYS,GRC,2035,67.18539786799482,XGB_OD
MYS,HKG,2025,16444.882634301364,XGB_OD
MYS,HKG,2030,16441.855897794532,XGB_OD
MYS,HKG,2035,16441.855897794532,XGB_OD
MYS,HUN,2025,200.74787149151126,XGB_OD
MYS,HUN,2030,210.10899280373928,XGB_OD
MYS,HUN,2035,216.83285038595054,XGB_OD
MYS,IDN,2025,177983.67739711542,XGB_OD
MYS,IDN,2030,186051.3454874743,XGB_OD
MYS,IDN,2035,196455.09985064616,XGB_OD
MYS,IND,2025,12705.369287974081,XGB_OD
MYS,IND,2030,13229.905119554489,XGB_OD
MYS,IND,2035,13700.138662480538,XGB_OD
MYS,ISL,2025,78.02643745516377,XGB_OD
MYS,ISL,2030,77.73549831727114,XGB_OD
MYS,ISL,2035,78.16236281867506,XGB_OD
MYS,ITA,2025,848.3234392618515,XGB_OD
MYS,ITA,2030,849.5048029704271,XGB_OD
MYS,ITA,2035,848.5000328113787,XGB_OD
MYS,JPN,2025,11844.61526753325,XGB_OD
MYS,JPN,2030,13454.48443977659,XGB_OD
MYS,JPN,2035,14835.788339937842,XGB_OD
MYS,KHM,2025,221.24014375429147,XGB_OD
MYS,KHM,2030,227.55110378758667,XGB_OD
MYS,KHM,2035,227.92838239780983,XGB_OD
MYS,LBY,2025,9995.635374842677,XGB_OD
MYS,LBY,2030,11428.55588697277,XGB_OD
MYS,LBY,2035,11464.440644956585,XGB_OD
MYS,LCA,2025,8.733276717233048,XGB_OD
MYS,LCA,2030,8.733276717233048,XGB_OD
MYS,LCA,2035,8.733276717233048,XGB_OD
MYS,LIE,2025,0.010122282154844252,XGB_OD
MYS,LIE,2030,0.010122282154844252,XGB_OD
MYS,LIE,2035,0.010122282154844252,XGB_OD
MYS,LKA,2025,1050.5822405458377,XGB_OD
MYS,LKA,2030,1132.456049734034,XGB_OD
MYS,LKA,2035,1141.0321441349586,XGB_OD
MYS,LTU,2025,11.44227619254308,XGB_OD
MYS,LTU,2030,11.385376313116684,XGB_OD
MYS,LTU,2035,11.44227619254308,XGB_OD
MYS,LUX,2025,158.29918359492223,XGB_OD
MYS,LUX,2030,157.78970232978975,XGB_OD
MYS,LUX,2035,158.46615465474153,XGB_OD
MYS,LVA,2025,6.698021989134559,XGB_OD
MYS,LVA,2030,6.703092899324277,XGB_OD
MYS,LVA,2035,6.720280212424124,XGB_OD
MYS,MDV,2025,122.49801114877805,XGB_OD
MYS,MDV,2030,127.54461407311821,XGB_OD
MYS,MDV,2035,130.02437532499124,XGB_OD
MYS,MLT,2025,236.9570616817572,XGB_OD
MYS,MLT,2030,242.5665997010869,XGB_OD
MYS,MLT,2035,242.17053078007558,XGB_OD
MYS,MUS,2025,64.14513470179732,XGB_OD
MYS,MUS,2030,64.14513470179732,XGB_OD
MYS,MUS,2035,64.14513470179732,XGB_OD
MYS,NOR,2025,1258.7415519671647,XGB_OD
MYS,NOR,2030,1336.6133915100218,XGB_OD
MYS,NOR,2035,1334.6477886367365,XGB_OD
MYS,NZL,2025,24842.793343360554,XGB_OD
MYS,NZL,2030,25058.64381842848,XGB_OD
MYS,NZL,2035,23600.84941022082,XGB_OD
MYS,PAN,2025,52.42311884249278,XGB_OD
MYS,PAN,2030,52.44515850833433,XGB_OD
MYS,PAN,2035,52.44515850833433,XGB_OD
MYS,PNG,2025,75.57741082943053,XGB_OD
MYS,PNG,2030,75.75731191060586,XGB_OD
MYS,PNG,2035,75.41064630302176,XGB_OD
MYS,PRK,2025,228.16057754757426,XGB_OD
MYS,PRK,2030,237.6208586812897,XGB_OD
MYS,PRK,2035,240.58669484893443,XGB_OD
MYS,PRT,2025,65.64845704270031,XGB_OD
MYS,PRT,2030,66.34979791577803,XGB_OD
MYS,PRT,2035,66.34979791577803,XGB_OD
MYS,SGP,2025,1794521.4163725069,XGB_OD
MYS,SGP,2030,2287673.549674621,XGB_OD
MYS,SGP,2035,2706266.487530754,XGB_OD
MYS,SLB,2025,117.54638486847988,XGB_OD
MYS,SLB,2030,120.50858660697212,XGB_OD
MYS,SLB,2035,125.52963036943318,XGB_OD
MYS,SVK,2025,26.727306894071035,XGB_OD
MYS,SVK,2030,26.71155145112547,XGB_OD
MYS,SVK,2035,26.71155145112547,XGB_OD
MYS,SVN,2025,14.60569762253475,XGB_OD
MYS,SVN,2030,14.467608661964697,XGB_OD
MYS,SVN,2035,14.517159231851464,XGB_OD
MYS,TLS,2025,66.5936369841853,XGB_OD
MYS,TLS,2030,67.09133671173205,XGB_OD
MYS,TLS,2035,67.0974410594865,XGB_OD
