iso3_orig,iso3_dest,MAE,RMSE,n,model_name
MYS,TLS,4.593635559082038,4.593635559082038,1.0,XGB_OD
MYS,VEN,4.527599334716797,4.527599334716797,1.0,XGB_OD
NGA,USA,96595.71874999988,96595.71874999988,1.0,XGB_OD
NIC,USA,10080.96875,10080.96875,1.0,XGB_OD
NPL,MYS,86859.25000000017,86859.25000000017,1.0,XGB_OD
NPL,USA,41124.79687499988,41124.79687499988,1.0,XGB_OD
NZL,MYS,0.7766113281247726,0.7766113281247726,1.0,XGB_OD
PAK,IDN,101.43371582031239,101.43371582031239,1.0,XGB_OD
PAK,MYS,31179.31249999994,31179.31249999994,1.0,XGB_OD
PAK,USA,24382.93750000006,24382.93750000006,1.0,XGB_OD
PAN,USA,3420.9374999999127,3420.9374999999127,1.0,XGB_OD
PER,USA,29742.21874999965,29742.21874999965,1.0,XGB_OD
PHL,IDN,158.47778320312545,158.47778320312545,1.0,XGB_OD
PHL,MYS,19998.171875000175,19998.171875000175,1.0,XGB_OD
