iso3,year,scenario,ethnic_bucket,migrant_pred_bucket,migrant_shock_bucket,delta_migrants_bucket,delta_in_bucket,delta_out_bucket
ASM,2025,AID_HIGH__CONFLICT_EXTERNAL_HIGH,Other,2570.999591924628,2570.999591924628,0.0,0.0,0.0
ASM,2025,AID_HIGH__CONFLICT_EXTERNAL_LOW,Other,2570.999591924628,2570.999591924628,0.0,0.0,0.0
ASM,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH,Other,2570.999591924628,3857.0807923613584,1286.0812004367306,0.0,1286.0812004367306
ASM,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,2570.999591924628,3857.0807923613584,1286.0812004367306,0.0,1286.0812004367306
ASM,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,2570.999591924628,3857.0807923613584,1286.0812004367306,0.0,1286.0812004367306
ASM,2025,AID_HIGH__CONFLICT_INTERNAL_LOW,Other,2570.999591924628,2999.693325403538,428.6937334789101,0.0,428.6937334789101
ASM,2025,AID_HIGH__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,2570.999591924628,2999.693325403538,428.6937334789101,0.0,428.6937334789101
ASM,2025,AID_HIGH__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,2570.999591924628,2999.693325403538,428.6937334789101,0.0,428.6937334789101
ASM,2025,AID_LOW,Other,2570.999591924628,2570.999591924628,0.0,0.0,0.0
ASM,2025,AID_LOW__CONFLICT_EXTERNAL_HIGH,Other,2570.999591924628,2570.999591924628,0.0,0.0,0.0
ASM,2025,AID_LOW__CONFLICT_EXTERNAL_LOW,Other,2570.999591924628,2570.999591924628,0.0,0.0,0.0
ASM,2025,AID_LOW__CONFLICT_INTERNAL_HIGH,Other,2570.999591924628,3857.0807923613584,1286.0812004367306,0.0,1286.0812004367306
ASM,2025,AID_LOW__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,2570.999591924628,3857.0807923613584,1286.0812004367306,0.0,1286.0812004367306
ASM,2025,AID_LOW__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,2570.999591924628,3857.0807923613584,1286.0812004367306,0.0,1286.0812004367306
ASM,2025,AID_LOW__CONFLICT_INTERNAL_LOW,Other,2570.999591924628,2999.693325403538,428.6937334789101,0.0,428.6937334789101
ASM,2025,AID_LOW__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,2570.999591924628,2999.693325403538,428.6937334789101,0.0,428.6937334789101
ASM,2025,AID_LOW__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,2570.999591924628,2999.693325403538,428.6937334789101,0.0,428.6937334789101
ASM,2025,CONFLICT_EXTERNAL_HIGH,Other,2570.999591924628,2570.999591924628,0.0,0.0,0.0
ASM,2025,CONFLICT_EXTERNAL_LOW,Other,2570.999591924628,2570.999591924628,0.0,0.0,0.0
ASM,2025,CONFLICT_INTERNAL_HIGH,Other,2570.999591924628,3857.0807923613584,1286.0812004367306,0.0,1286.0812004367306
ASM,2025,CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,2570.999591924628,3857.0807923613584,1286.0812004367306,0.0,1286.0812004367306
ASM,2025,CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,2570.999591924628,3857.0807923613584,1286.0812004367306,0.0,1286.0812004367306
