iso3,year,ethnic_group,share,model_name,type,total_pop_interp,count
USA,2035,American Indian and Alaska native,0.015525502893150755,ET_GDELT,forecast,371356970.96709573,5765503.727141346
USA,2025,Asian,0.06654101123933914,ET_BASE,forecast,344775875.6153538,22941735.414374255
USA,2030,Asian,0.07954135354107984,ET_BASE,forecast,357819682.006239,28461461.83041502
USA,2035,Asian,0.0901170410363493,ET_BASE,forecast,371356970.96709573,33465591.39177614
USA,2025,Asian,0.0649061047509529,ET_GDELT,forecast,344775875.6153538,22378059.09829167
USA,2030,Asian,0.06988460789240912,ET_GDELT,forecast,357819682.006239,25006088.17319253
USA,2035,Asian,0.07803829104604842,ET_GDELT,forecast,371356970.96709573,28980063.382309172
USA,2025,Black or African American,0.12304193783337442,ET_BASE,forecast,344775875.6153538,42421891.85391159
USA,2030,Black or African American,0.11257829623303607,ET_BASE,forecast,357819682.006239,40282730.15890914
USA,2035,Black or African American,0.1097448602244732,ET_BASE,forecast,371356970.96709573,40754518.87216768
USA,2025,Black or African American,0.12490732156279151,ET_GDELT,forecast,344775875.6153538,43065031.16258001
USA,2030,Black or African American,0.12341938689033345,ET_GDELT,forecast,357819682.006239,44161885.770504095
USA,2035,Black or African American,0.12043131235285079,ET_GDELT,forecast,371356970.96709573,44723007.36494685
USA,2025,Native Hawaiian and other Pacific Islander,0.008073705061110919,ET_BASE,forecast,344775875.6153538,2783618.731904631
USA,2030,Native Hawaiian and other Pacific Islander,0.04572240787301131,ET_BASE,forecast,357819682.006239,16360377.445680466
USA,2035,Native Hawaiian and other Pacific Islander,0.07787592508888191,ET_BASE,forecast,371356970.96709573,28919767.652267642
USA,2025,Native Hawaiian and other Pacific Islander,0.0022307288889784407,ET_GDELT,forecast,344775875.6153538,769101.5059580074
USA,2030,Native Hawaiian and other Pacific Islander,0.0024376993463558613,ET_GDELT,forecast,357819682.006239,872256.804939871
USA,2035,Native Hawaiian and other Pacific Islander,0.0028564690031574985,ET_GDELT,forecast,371356970.96709573,1060769.676673968
USA,2025,Some other race,0.08812765793042865,ET_BASE,forecast,344775875.6153538,30384290.428893916
USA,2030,Some other race,0.09100031194118063,ET_BASE,forecast,357819682.006239,32561702.681261808
USA,2035,Some other race,0.09416569563538649,ET_BASE,forecast,371356970.96709573,34969087.500166595
USA,2025,Some other race,0.08782852691535803,ET_GDELT,forecast,344775875.6153538,30281157.27124924
USA,2030,Some other race,0.08994696117282724,ET_GDELT,forecast,357819682.006239,32184793.044288572
USA,2035,Some other race,0.0944551902700999,ET_GDELT,forecast,371356970.96709573,35076593.35082499
USA,2025,Two or more races,0.10571992651062108,ET_BASE,forecast,344775875.6153538,36449680.23269024
USA,2030,Two or more races,0.10143707183391651,ET_BASE,forecast,357819682.006239,36296180.787256025
USA,2035,Two or more races,0.10140807564612664,ET_BASE,forecast,371356970.96709573,37658595.803547695
USA,2025,Two or more races,0.10661499013129405,ET_GDELT,forecast,344775875.6153538,36758276.57623922
USA,2030,Two or more races,0.10906580391477631,ET_GDELT,forecast,357819682.006239,39025891.274540074
USA,2035,Two or more races,0.11284695646011152,ET_GDELT,forecast,371356970.96709573,41906503.93388275
USA,2025,White,0.5917163075701772,ET_BASE,forecast,344775875.6153538,204009508.05839187
USA,2030,White,0.5190949688366691,ET_BASE,forecast,357819682.006239,185742396.68017545
USA,2035,White,0.4473120756002011,ET_BASE,forecast,371356970.96709573,166112457.47189522
USA,2025,White,0.601901062933884,ET_GDELT,forecast,344775875.6153538,207520966.00684208
USA,2030,White,0.5928037266111517,ET_GDELT,forecast,357819682.006239,212116840.94811574
USA,2035,White,0.5758462779745812,ET_GDELT,forecast,371356970.96709573,213844529.5313167
