iso3_orig,iso3_dest,year,migrant_stock,dest_total_migrant_stock,orig_total_migrant_stock,origin_share_in_dest_migrants,dest_share_of_origin_emigration
IDN,BEL,2015,3358.0,19383.0,3351461.0,0.17324459577980705,0.0010019510893905673
IDN,BEL,2020,3591.0,19807.0,3546661.0,0.1812995405664664,0.0010125016177187501
IDN,BEL,2024,3816.0,20461.0,3856982.0,0.186501148526465,0.00098937459391825
IDN,BGD,2000,97476.0,289079.0,2187871.0,0.3371950228138329,0.04455290097085249
IDN,BGD,2005,123383.0,351379.0,2470619.0,0.3511393680328079,0.04994011622188609
IDN,BGD,2010,143647.0,391980.0,3106885.0,0.366465125771723,0.0462350553689628
IDN,BGD,2015,152862.0,402431.0,3351461.0,0.37984648299957013,0.045610556112692345
IDN,BGD,2020,149901.0,394634.0,3546661.0,0.3798481631080951,0.042265387078156046
IDN,BGD,2024,205947.0,542183.0,3856982.0,0.3798477635779801,0.053395893473187066
IDN,BGR,2000,11.0,577.0,2187871.0,0.019064124783362217,5.027718727475249e-06
IDN,BGR,2005,17.0,845.0,2470619.0,0.020118343195266272,6.8808666977789775e-06
IDN,BGR,2010,22.0,1095.0,3106885.0,0.02009132420091324,7.081047415659093e-06
IDN,BGR,2015,38.0,2170.0,3351461.0,0.017511520737327188,1.133833871257938e-05
IDN,BGR,2020,63.0,3537.0,3546661.0,0.017811704834605598,1.7763186275767546e-05
IDN,BGR,2024,87.0,4865.0,3856982.0,0.01788283658787256,2.255649624499155e-05
IDN,BHR,2000,9135.0,9679.0,2187871.0,0.9437958466783759,0.004175291870498764
IDN,BHR,2005,14255.0,14995.0,2470619.0,0.9506502167389129,0.00576980910451996
IDN,BHR,2010,23008.0,24136.0,3106885.0,0.9532648326151807,0.007405488133612927
IDN,BHR,2015,25817.0,27082.0,3351461.0,0.9532900081234769,0.007703207645859522
IDN,BHR,2020,28122.0,29500.0,3546661.0,0.9532881355932203,0.00792914800709738
IDN,BHR,2024,30062.0,31535.0,3856982.0,0.9532899952433803,0.007794176897895816
IDN,BHS,2000,6.0,4306.0,2187871.0,0.0013934045517882026,2.7423920331683173e-06
IDN,BHS,2005,18.0,6605.0,2470619.0,0.002725208175624527,7.285623562354211e-06
IDN,BHS,2010,30.0,8949.0,3106885.0,0.003352329869259135,9.655973748626035e-06
IDN,BHS,2015,33.0,9697.0,3351461.0,0.0034031143652676087,9.846452039871567e-06
IDN,BHS,2020,34.0,10393.0,3546661.0,0.003271432695083229,9.586481482160263e-06
IDN,BHS,2024,36.0,10998.0,3856982.0,0.0032733224222585926,9.333722584134434e-06
IDN,BOL,2000,15.0,3678.0,2187871.0,0.004078303425774877,6.855980082920794e-06
IDN,BOL,2005,12.0,3954.0,2470619.0,0.0030349013657056147,4.857082374902808e-06
IDN,BOL,2010,9.0,4222.0,3106885.0,0.0021316911416390336,2.8967921245878105e-06
IDN,BOL,2015,11.0,4917.0,3351461.0,0.0022371364653243847,3.2821506799571888e-06
IDN,BOL,2020,10.0,5471.0,3546661.0,0.0018278194114421495,2.81955337710596e-06
IDN,BOL,2024,11.0,6108.0,3856982.0,0.0018009168303863784,2.851970789596633e-06
IDN,BRA,2000,722.0,14437.0,2187871.0,0.05001038997021542,0.0003300011746579209
IDN,BRA,2005,785.0,18822.0,2470619.0,0.0417065136542344,0.0003177341386915587
IDN,BRA,2010,716.0,23500.0,3106885.0,0.030468085106382978,0.00023045590680054138
IDN,BRA,2015,767.0,28962.0,3351461.0,0.02648297769491057,0.00022885541559337854
IDN,BRA,2020,814.0,33265.0,3546661.0,0.02447016383586352,0.0002295116448964251
IDN,BRA,2024,847.0,28611.0,3856982.0,0.02960399846212995,0.00021960175079894072
IDN,BRN,2000,5778.0,51180.0,2187871.0,0.11289566236811255,0.0026409235279410896
IDN,BRN,2005,5907.0,52321.0,2470619.0,0.11289921828711225,0.002390898799045907
